time 0.100251 e_balance -1.22122e-15 
x y z cell_char_length e p radE rho temperature u v w 
0 0 0.0005 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0015 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0025 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0035 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0045 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0055 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0065 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0075 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0085 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0095 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0105 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0115 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0125 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0135 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0145 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0155 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0165 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0175 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0185 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0195 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0205 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0215 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0225 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0235 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0245 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0255 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0265 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0275 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0285 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0295 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0305 0.001 2.5 1 0.535944 1 2.5 0 0 0 
0 0 0.0315 0.001 2.5 1 0.535944 1 2.5 0 0 0 
